"vars";"n";"mean";"sd";"median";"trimmed";"mad";"min";"max";"range";"skew";"kurtosis";"se"
"P1_DEPARTAMENTO*";1;41129;15.4778623355783;8.94332597524696;15;15.3645950463455;10.3782;1;32;31;0.0740481620885274;-1.11724161329285;0.0440986186184743
"Energia";2;41129;0.893700308784556;0.308224555683783;1;0.992098465278833;0;0;1;1;-2.55457087500656;4.52594239981264;0.00151982351616928
"Gas_red";3;41129;0.165114639305599;0.371288495603366;0;0.0814161981461784;0;0;1;1;1.80386530874375;1.25396054233895;0.00183078530407562
"Y";4;41129;4.40655012278441;1.4691858248245;4;4.5084637593071;2.9652;1;8;7;-0.344668888108629;-0.841206312494349;0.00724440387702799
"N_hogar";5;41129;3.08677575433392;1.62865928220058;3;2.94189332928126;1.4826;1;22;21;1.04554270841163;2.45657466324234;0.00803075105883281
"Jefe_sex";6;41129;1.31148338155559;0.463105494524545;1;1.26436711745935;0;1;2;1;0.8141213487136;-1.33723894108132;0.00228352546241544
"Jefe_edad";7;41129;48.8463128206375;16.4520735520514;48;48.3539583649901;19.2738;13;99;86;0.233250604085331;-0.707184872148707;0.0811234790125123
"menores";8;41129;1.04104160081694;1.23343647437607;1;0.842485944385352;1.4826;0;13;13;1.37741230947095;2.51169756875831;0.00608194812804235
"Jefe_educ_sec";9;41129;0.424299156313064;0.494242168893808;0;0.405379121714025;0;0;1;1;0.306323530771914;-1.90621223987945;0.00243705719455381
"Jefe_educ_ter";10;41129;0.0652337766539425;0.246940911322971;0;0;0;0;1;1;3.52113102864959;10.398616551999;0.00121764018217277
"avg_edad";11;41129;37.8162469085356;18.4885022773357;33.3333333333333;36.3165885489929;19.2738;5.25;98;92.75;0.615167207286996;-0.628835890667002;0.0911648991674495
"Casa";12;41129;0.89321403389336;0.308844690284413;1;0.991490654915666;0;0;1;1;-2.54629259143606;4.48371497887629;0.00152288133596931
"Apartamento";13;41129;0.0351333608889105;0.184119070368655;0;0;0;0;1;1;5.04950775095278;23.4980998555032;0.000907872159311641
"Habitacion";14;41129;0.012861970872134;0.112680296793045;0;0;0;0;1;1;8.64616439328243;72.7579277351082;0.00055561492981986
"Casa_Ind";15;41129;0.0566267110797734;0.231130754221406;0;0;0;0;1;1;3.83646486465083;12.7187719004449;0.00113968192701694
"ln_PERCAPITA";16;41129;12.4972206694258;1.04704118096678;12.5484796176712;12.5291341551544;0.861833720115733;6.0321865366279;17.5997001918825;11.5675136552546;-0.416831961039766;2.26756150298932;0.00516285214752177
