"vars";"n";"mean";"sd";"median";"trimmed";"mad";"min";"max";"range";"skew";"kurtosis";"se"
"P1_DEPARTAMENTO*";1;39193;15.2101395657388;8.68647043331815;15;15.06665603572;10.3782;1;32;31;0.0911199384299088;-1.07452892833317;0.0438772188407033
"Energia";2;39193;0.873880539892328;0.331988183567686;1;0.967341731781215;0;0;1;1;-2.25231510593057;3.07300174525894;0.00167694327572385
"Gas_red";3;39193;0.109968616844845;0.31285462676494;0;0.0124701004624462;0;0;1;1;2.49330774251868;4.21669108871893;0.00158029559062785
"Y";4;39193;4.7017579669839;1.40409950843214;4;4.88081645670547;2.9652;1;8;7;-0.628948835756612;-0.498027678040529;0.00709240673511016
"N_hogar";5;39193;3.21506391447452;1.74803586058588;3;3.04554297560198;1.4826;1;20;19;1.01506562034885;1.96713401085945;0.008829702764213
"Jefe_sex";6;39193;1.26451151991427;0.441078382656745;1;1.20564503269016;0;1;2;1;1.06775793560876;-0.859914929514816;0.00222798118871173
"Jefe_edad";7;39193;49.2801010384507;16.2707504478669;49;48.8390049433902;17.7912;13;104;91;0.213519292999543;-0.675938537084132;0.0821870382894767
"menores";8;39193;1.14530655984487;1.32375757898725;1;0.942975601977356;1.4826;0;12;12;1.31203152531749;2.08890844739004;0.00668658247686871
"Jefe_educ_sec";9;39193;0.380782282550455;0.485585370508495;0;0.350980704831765;0;0;1;1;0.49101428040644;-1.75894985366783;0.00245279549745805
"Jefe_educ_ter";10;39193;0.0494476054397469;0.216803457179899;0;0;0;0;1;1;4.15621507778871;15.2745135003417;0.0010951206026807
"avg_edad";11;39193;37.6735737685856;18.4569049066661;33;36.1552187217273;19.2738;6;104;98;0.623025825095725;-0.623183604490166;0.0932297717385412
"Casa";12;39193;0.922945423927742;0.26668142597936;1;1;0;0;1;1;-3.17183419147736;8.06073780797074;0.00134706488420953
"Apartamento";13;39193;0.0304135942642819;0.171724663232047;0;0;0;0;1;1;5.46892234945445;27.9098237787788;0.00086741797912278
"Habitacion";14;39193;0.0152067971321409;0.122376192784594;0;0;0;0;1;1;7.92279645990957;60.7722543366103;0.000618148306947111
"Casa_Ind";15;39193;0.0295716071747506;0.16940442568852;0;0;0;0;1;1;5.55376741836152;28.8450685142156;0.000855697963353283
"ln_PERCAPITA";16;39193;12.4563139490162;0.974038571928263;12.4769555710321;12.4673770808535;0.859878349556432;6.64747218071847;17.5213290661351;10.8738568854166;-0.145497490815805;1.32281954671477;0.00492007702183094
