"P1_DEPARTAMENTO";"Energia";"Gas_red";"Y";"N_hogar";"Jefe_sex";"Jefe_edad";"menores";"Jefe_educ_sec";"Jefe_educ_ter";"avg_edad";"Casa";"Apartamento";"Habitacion";"Casa_Ind";"ln_PERCAPITA"
"91";1;0;4;2;1;55;0;0;0;55.5;1;0;0;0;13.4736069313459
"91";1;0;6;2;2;72;0;0;0;45.5;1;0;0;0;12.0725412529057
"91";1;0;6;8;2;32;7;1;0;12.875;1;0;0;0;11.2065984282052
"13";1;0;4;1;2;56;0;1;0;56;0;1;0;0;12.3602233253574
"91";1;0;6;6;1;33;4;1;0;12.1666666666667;1;0;0;0;12.1459687214605
"91";1;0;6;2;2;26;1;1;0;13;1;0;0;0;13.1223633774043
"91";0;0;3;4;1;52;0;0;0;34.5;1;0;0;0;12.9598444479066
"66";1;0;4;1;1;41;0;0;0;41;1;0;0;0;15.5904629088759
"66";1;0;4;7;2;45;2;0;0;27;1;0;0;0;14.4392889290345
"95";1;0;4;2;1;63;0;0;1;59;1;0;0;0;13.3116053770429
"66";1;0;4;3;1;41;1;1;0;31.6666666666667;1;0;0;0;15.6072700271923
"47";1;0;1;2;2;38;0;0;0;42.5;1;0;0;0;11.9183905730784
"47";1;0;1;3;1;25;1;1;0;15.3333333333333;1;0;0;0;12.493754717982
"47";1;0;6;4;1;28;3;0;0;11.25;0;0;1;0;11.4349639235005
"18";1;0;4;4;2;47;2;1;0;24;1;0;0;0;13.3184782563306
"50";1;0;4;6;2;25;3;1;0;22.1666666666667;1;0;0;0;13.201049472988
"18";1;0;4;2;1;64;0;0;0;65.5;1;0;0;0;13.5923670066501
"66";1;0;4;4;2;79;2;0;0;40.25;1;0;0;0;11.9211644999611
"47";1;0;4;7;2;47;2;1;0;20.4285714285714;1;0;0;0;12.0147824187535
"66";0;0;6;3;1;65;0;1;0;53.3333333333333;1;0;0;0;13.7602933176508
"18";0;0;4;2;2;23;1;0;1;12;1;0;0;0;13.1223633774043
"91";0;0;4;2;1;57;0;0;1;56;1;0;0;0;15.1039393938305
"66";1;0;4;4;2;48;0;0;0;36;1;0;0;0;13.7933501532943
"66";1;0;4;4;2;36;2;1;0;24.5;1;0;0;0;12.6867482923453
"50";1;0;4;2;1;45;0;0;1;46;1;0;0;0;14.3461388090264
"50";1;0;4;3;2;29;1;0;1;23.3333333333333;1;0;0;0;13.5256037904904
"50";1;1;2;2;1;71;0;1;0;45;1;0;0;0;13.1806322855283
"50";1;1;2;4;2;56;2;0;0;27.75;1;0;0;0;13.5234857360784
"13";1;1;2;2;1;68;0;1;0;59.5;1;0;0;0;13.6580767166781
"41";1;1;2;3;1;32;1;1;0;23.6666666666667;0;1;0;0;13.3957774780584
"13";1;0;4;5;1;44;3;1;0;19.2;1;0;0;0;12.7493654594337
"11";1;1;2;2;1;58;0;1;0;57;1;0;0;0;12.3349055173731
"17";1;0;4;2;1;63;0;0;0;60;1;0;0;0;12.9400418206104
"17";1;0;4;4;1;46;2;1;0;29.5;1;0;0;0;13.0602336417012
"47";1;0;6;3;2;47;1;0;0;37.3333333333333;1;0;0;0;15.4611732472213
"17";1;0;4;2;1;48;0;0;0;44.5;1;0;0;0;13.8155105579643
"17";1;0;4;2;1;63;0;0;0;67.5;0;1;0;0;12.8739020181058
"91";1;0;4;6;1;39;4;1;0;19;1;0;0;0;11.5129254649702
"91";1;0;4;1;2;73;0;0;1;73;1;0;0;0;14.1870741143968
"17";1;0;4;4;1;27;2;1;0;16.5;1;0;0;0;12.431713077043
"91";1;0;4;5;2;73;0;1;0;49.8;1;0;0;0;12.1007121298723
"50";1;1;2;5;2;35;4;1;0;17;1;0;0;0;12.7938593104323
"17";1;0;4;2;2;52;0;0;0;39;0;1;0;0;13.5515450121298
"50";1;0;4;6;1;59;3;0;0;33.1666666666667;1;0;0;0;12.3120579659568
"18";1;0;6;4;1;33;2;1;0;17;1;0;0;0;13.93162553652
"17";1;0;4;2;2;53;0;0;0;55.5;1;0;0;0;13.4468594229788
"17";1;0;4;3;1;44;1;0;0;33.3333333333333;1;0;0;0;13.0884618257286
"13";1;0;4;4;1;47;2;1;0;28.25;1;0;0;0;13.2511962492473
"17";1;0;4;5;1;38;3;0;0;21.2;1;0;0;0;12.8622964719855
"17";1;0;4;4;1;59;0;0;0;47.5;1;0;0;0;13.8921395416606
"17";1;0;4;2;1;71;0;0;0;66;0;1;0;0;13.1388926793555
"66";1;0;4;2;1;39;0;0;1;52;1;0;0;0;12.8992198260901
"95";1;0;6;2;1;92;0;1;0;75.5;1;0;0;0;13.8643007221337
"47";1;0;6;4;1;55;2;0;0;31;1;0;0;0;11.5447067148383
"11";1;1;2;1;2;75;0;0;0;75;1;0;0;0;11.7360690162844
"13";1;1;2;5;2;55;1;1;0;32.6;1;0;0;0;12.8360137501863
"50";0;0;6;2;1;69;0;0;0;54.5;1;0;0;0;12.4292161968444
"70";1;0;6;2;2;64;0;0;0;42;1;0;0;0;12.3953146451687
"47";1;0;1;4;1;35;2;1;0;17.25;0;1;0;0;12.1934938633233
"13";1;1;2;4;1;48;2;0;1;26.5;1;0;0;0;13.2289731124626
"13";1;0;4;2;1;55;0;1;0;54.5;1;0;0;0;13.4730202490175
"70";1;0;6;3;1;76;0;0;0;58;1;0;0;0;12.7464570715377
"47";1;0;4;7;1;44;2;0;0;30.4285714285714;1;0;0;0;12.3343820941735
"66";1;0;4;2;1;47;0;0;0;49;1;0;0;0;14.7994599383122
"91";1;0;5;2;1;26;0;0;1;23;1;0;0;0;14.0931422945626
"50";1;0;4;3;2;50;0;1;0;33.3333333333333;1;0;0;0;13.3415881492112
"47";1;0;4;6;2;38;2;1;0;21.3333333333333;1;0;0;0;11.9330967204681
"50";1;0;4;4;1;47;2;1;0;29;1;0;0;0;13.7022033657596
"13";1;1;2;5;2;38;2;1;0;34.4;1;0;0;0;13.5278284855125
"11";1;1;2;3;2;82;1;0;0;46;1;0;0;0;13.2475265203583
"13";1;0;4;2;1;65;0;0;1;59;1;0;0;0;14.7318012898384
"13";1;1;2;5;1;28;2;1;0;19;1;0;0;0;13.1887751429236
"13";1;0;4;5;1;29;3;1;1;14.6;1;0;0;0;12.2619802774685
"73";1;1;2;6;2;47;1;1;1;45.5;1;0;0;0;13.5322630825804
"47";1;0;4;4;2;23;2;1;0;14;1;0;0;0;11.9183905730784
"91";1;0;4;5;1;55;3;1;1;23.6;1;0;0;0;11.514257910204
"41";1;1;2;3;2;21;1;0;0;15;1;0;0;0;13.1658484893441
"50";1;0;4;3;1;29;1;1;0;18.6666666666667;1;0;0;0;13.6908287806167
"50";1;1;2;2;1;75;0;1;0;75;1;0;0;0;16.0057664659844
"73";1;1;2;3;1;55;0;1;1;65;1;0;0;0;13.7583521441243
"50";1;0;4;3;2;32;1;0;1;26.3333333333333;1;0;0;0;14.2385972674223
"66";1;0;4;2;2;67;0;1;0;53;1;0;0;0;12.5245263766487
"50";1;1;2;2;1;80;0;1;0;77.5;1;0;0;0;13.7633396856354
"47";1;0;6;3;1;23;1;1;0;15;1;0;0;0;12.7017846314861
"47";1;0;6;3;1;21;2;1;0;12;1;0;0;0;12.1190612685405
"13";1;0;4;3;2;33;1;1;0;27.6666666666667;1;0;0;0;13.3320839083864
"47";1;0;1;3;1;26;1;1;0;18;1;0;0;0;12.6760762747759
"50";1;0;4;2;1;60;0;1;0;47;1;0;0;0;13.5278284855125
"47";1;0;4;4;2;34;2;1;0;26.25;1;0;0;0;12.5833668766716
"18";1;0;4;1;1;63;0;0;0;63;1;0;0;0;14.1519827945855
"95";1;0;4;1;1;87;0;0;0;87;1;0;0;0;12.8696193563138
"13";1;0;4;1;1;48;0;0;0;48;1;0;0;0;13.9377281906885
"95";1;0;4;3;1;26;1;1;0;18.6666666666667;1;0;0;0;12.7334275712474
"50";1;0;4;2;2;62;1;0;0;36.5;0;1;0;0;13.0919041699196
"47";1;0;6;1;1;42;0;0;0;42;1;0;0;0;13.1223633774043
"18";1;0;6;1;1;55;0;0;0;55;1;0;0;0;15.2779940574417
"47";1;0;6;4;1;54;1;1;0;31;1;0;0;0;11.9183905730784
"66";1;0;4;1;1;42;0;0;0;42;1;0;0;0;15.1942766526634
"66";1;0;6;4;2;59;1;1;0;30.75;1;0;0;0;13.4939269338368
"13";1;0;4;2;2;38;0;1;0;38.5;1;0;0;0;13.9108207377686
"47";1;0;4;3;2;67;0;0;0;46;1;0;0;0;11.2307835728941
"11";1;1;2;3;1;62;0;0;0;54;1;0;0;0;12.3953146451687
"50";1;0;4;2;2;30;0;0;1;43.5;1;0;0;0;13.2330098974914
"11";1;1;2;3;2;77;1;0;0;55;1;0;0;0;11.6789106024445
"91";1;0;4;1;1;30;0;1;0;30;0;0;0;1;13.1223633774043
"50";1;1;2;1;2;71;0;1;0;71;1;0;0;0;13.4480635170436
"66";1;0;4;4;1;46;2;1;0;28.25;1;0;0;0;13.0170028617465
"18";0;0;4;2;1;54;0;0;0;65.5;1;0;0;0;13.6431393320235
"47";1;0;6;4;1;21;2;0;0;11;1;0;0;0;11.2252433925184
"18";1;0;4;4;1;53;2;0;0;32;1;0;0;0;12.4780063610138
"91";1;0;6;6;1;41;4;0;0;21.3333333333333;1;0;0;0;13.1470559899947
"70";1;0;4;2;2;57;0;0;1;68.5;1;0;0;0;14.4695703498162
"91";0;0;4;3;1;36;1;0;1;21.3333333333333;1;0;0;0;13.9406737009183
"13";1;1;2;4;2;52;2;0;0;29.75;1;0;0;0;11.126036742435
"18";1;0;6;4;1;46;1;0;0;32.75;1;0;0;0;13.1948390657264
"66";1;1;2;2;1;45;0;0;0;44.5;1;0;0;0;11.2252433925184
"50";1;0;4;4;1;56;1;0;0;29.25;1;0;0;0;12.908551153519
"41";1;1;2;3;1;23;1;1;0;15.6666666666667;1;0;0;0;13.5155309577021
"11";1;1;2;3;2;31;1;0;0;27.6666666666667;1;0;0;0;13.0497926845695
"91";1;0;4;2;1;43;0;1;0;49;1;0;0;0;13.1711535415738
"91";1;0;4;1;2;26;0;0;0;26;0;0;1;0;13.1223633774043
"47";1;0;6;9;2;78;5;0;0;29.8888888888889;1;0;0;0;11.925770680376
"70";1;0;6;4;2;42;2;1;0;35;1;0;0;0;11.7078409948279
"70";1;0;6;3;2;38;1;1;0;27.6666666666667;1;0;0;0;12.7415908818865
"66";1;0;4;3;2;56;0;0;1;37;1;0;0;0;13.396622429524
"47";1;1;2;3;2;46;1;1;0;35;1;0;0;0;12.1892655272138
"95";1;0;4;1;2;64;0;0;0;64;1;0;0;0;13.3534750983677
"47";1;0;4;4;2;50;2;0;0;27.25;1;0;0;0;11.5537474594905
"11";1;1;2;5;2;51;3;1;0;17.4;1;0;0;0;12.2922503417712
