"P1_DEPARTAMENTO";"Energia";"Gas_red";"Y";"N_hogar";"Jefe_sex";"Jefe_edad";"menores";"Jefe_educ_sec";"Jefe_educ_ter";"avg_edad";"Casa";"Apartamento";"Habitacion";"Casa_Ind";"ln_PERCAPITA"
"13";1;0;4;2;2;36;0;1;0;39.5;1;0;0;0;11.8493977015914
"13";1;0;4;4;1;54;0;0;0;36;1;0;0;0;12.5520133076565
"13";1;0;6;1;1;49;0;0;0;49;1;0;0;0;11.1562505210315
"13";0;0;6;4;1;53;0;0;0;36;1;0;0;0;12.2060726455302
"13";1;0;6;7;1;49;5;1;0;22.2857142857143;1;0;0;0;11.9918180416332
"13";1;0;4;3;1;28;1;1;0;18.3333333333333;1;0;0;0;12.0237510887362
"13";1;0;4;3;1;25;1;1;0;17;1;0;0;0;11.800607537422
"13";1;0;4;4;2;50;2;1;0;26.25;1;0;0;0;11.5129254649702
"13";1;0;4;3;2;38;2;1;0;17.3333333333333;1;0;0;0;12.1296114794357
"13";1;1;2;2;1;35;0;1;0;30.5;1;0;0;0;13.0710700830168
"13";1;0;4;3;2;65;0;1;0;35.6666666666667;1;0;0;0;10.8738455056806
"13";1;1;2;4;2;41;2;1;0;17.25;0;1;0;0;12.8039356876134
"13";1;1;2;6;1;32;4;1;0;13.5;0;1;0;0;11.9183905730784
"13";1;1;2;2;2;48;1;0;1;28.5;1;0;0;0;11.6526874073454
"13";1;1;2;3;1;60;0;1;0;63.6666666666667;1;0;0;0;12.8873440316099
"47";1;0;6;2;1;70;0;0;0;67.5;1;0;0;0;11.9349198750296
"47";1;0;1;3;1;23;1;0;1;14.6666666666667;0;1;0;0;12.3883942023241
"47";1;0;1;2;1;50;0;0;0;48.5;1;0;0;0;11.6812607797894
"47";1;0;1;2;1;62;0;0;0;60;0;1;0;0;11.4528215409005
"47";1;0;1;4;1;40;2;1;0;21;0;1;0;0;12.1950748913206
